service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/02/01 05:00:00+00,The RIDE,The RIDE,110010,5790,19,138199,4936,28,503
2020/07/01 04:00:00+00,Rail,Orange Line,980535,42632,23,1186796,38284,31,504
2019/03/01 05:00:00+00,Rail,Blue Line,1321537,62930,21,1638864,52867,31,505
2020/07/01 04:00:00+00,Rail,Red Line,1066068,46351,23,1279618,41278,31,506
2019/03/01 05:00:00+00,Bus,Bus,7384595,351647,21,8690754,280347,31,507
2020/07/01 04:00:00+00,Bus,Silver Line,297526,12936,23,393234,12685,31,508
2019/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2558136,121816,21,2628828,84801,31,509
2020/07/01 04:00:00+00,The RIDE,The RIDE,43597,1896,23,60480,1951,31,510
2019/03/01 05:00:00+00,Ferry,Ferry,115773,5513,21,102937,3321,31,511
2020/08/01 04:00:00+00,Rail,Blue Line,491557,23407,21,575160,18554,31,512
2019/03/01 05:00:00+00,Rail,Green Line,3728685,177556,21,4692764,151379,31,513
2020/08/01 04:00:00+00,Bus,Bus,2937396,139876,21,3843412,123981,31,514
2019/03/01 05:00:00+00,Rail,Orange Line,4150058,197622,21,4996003,161161,31,515
2020/08/01 04:00:00+00,Commuter Rail,Commuter Rail,275983,13142,21,308476,9951,31,516
2019/03/01 05:00:00+00,Rail,Red Line,5248193,249914,21,6256835,201833,31,517
2020/08/01 04:00:00+00,Ferry,Ferry,18312,872,21,18319,591,31,518
2019/03/01 05:00:00+00,Bus,Silver Line,786680,37461,21,995833,32124,31,519
2020/08/01 04:00:00+00,Rail,Green Line,749944,35712,21,987774,31864,31,520
2019/03/01 05:00:00+00,The RIDE,The RIDE,127197,6057,21,154294,4977,31,521
2020/08/01 04:00:00+00,Rail,Orange Line,1017020,48430,21,1296660,41828,31,522
2019/04/01 04:00:00+00,Rail,Blue Line,1474893,67041,22,1777688,59256,30,523
2020/08/01 04:00:00+00,Rail,Red Line,1134155,54007,21,1458827,47059,31,524
2019/04/01 04:00:00+00,Bus,Bus,7715777,350717,22,8801806,293394,30,525
2020/08/01 04:00:00+00,Bus,Silver Line,280178,13342,21,385679,12441,31,526
2019/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2655972,120726,22,2689704,89657,30,527
2020/08/01 04:00:00+00,The RIDE,The RIDE,40673,1937,21,55066,1776,31,528
2019/04/01 04:00:00+00,Ferry,Ferry,113036,5138,22,118564,3952,30,529
2020/09/01 04:00:00+00,Rail,Blue Line,534765,25465,21,698212,23274,30,530
2019/04/01 04:00:00+00,Rail,Green Line,4158917,189042,22,5044398,168147,30,531
2020/09/01 04:00:00+00,Bus,Bus,3290779,156704,21,4099515,136651,30,532
2019/04/01 04:00:00+00,Rail,Orange Line,4492855,204221,22,5225900,174197,30,533
2020/09/01 04:00:00+00,Commuter Rail,Commuter Rail,318769,14539,21,345989,11533,30,534
2019/04/01 04:00:00+00,Rail,Red Line,5637800,256264,22,6497257,216575,30,535
2020/09/01 04:00:00+00,Ferry,Ferry,16527,787,21,16534,551,30,536
2019/04/01 04:00:00+00,Bus,Silver Line,823061,37412,22,995353,33178,30,537
2020/09/01 04:00:00+00,Rail,Green Line,966037,46002,21,1270411,42347,30,538
2019/04/01 04:00:00+00,The RIDE,The RIDE,133386,6063,22,157672,5256,30,539
2020/09/01 04:00:00+00,Rail,Orange Line,1180225,56201,21,1508907,50297,30,540
2019/05/01 04:00:00+00,Rail,Blue Line,1510954,65694,23,1858843,59963,31,541
2020/09/01 04:00:00+00,Rail,Red Line,1288872,61375,21,1644315,54810,30,542
2019/05/01 04:00:00+00,Bus,Bus,7884810,342817,23,9148123,295100,31,543
2020/09/01 04:00:00+00,Bus,Silver Line,296861,14136,21,386212,12874,30,544
2019/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2777871,120777,23,2702198,87168,31,545
2019/05/01 04:00:00+00,Ferry,Ferry,129168,5616,23,139499,4500,31,546
2019/05/01 04:00:00+00,Rail,Green Line,3960256,172185,23,4853219,156555,31,547
2019/05/01 04:00:00+00,Rail,Orange Line,4528760,196903,23,5354899,172739,31,548
2019/05/01 04:00:00+00,Rail,Red Line,5681868,247038,23,6705541,216308,31,549
2019/05/01 04:00:00+00,Bus,Silver Line,850391,36974,23,1054740,34024,31,550
2019/05/01 04:00:00+00,The RIDE,The RIDE,138460,6020,23,162453,5240,31,551
2019/06/01 04:00:00+00,Rail,Blue Line,1423295,71165,20,1817989,60600,30,552
2019/06/01 04:00:00+00,Bus,Bus,6970275,348513,20,8430121,281004,30,553
2019/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2394520,119726,20,2465906,82197,30,554
2019/06/01 04:00:00+00,Ferry,Ferry,141620,7081,20,167104,5570,30,555
2019/06/01 04:00:00+00,Rail,Green Line,3661246,183062,20,4628747,154292,30,556
2019/06/01 04:00:00+00,Rail,Orange Line,4135346,206767,20,5080673,169356,30,557
2019/06/01 04:00:00+00,Rail,Red Line,4996532,249827,20,6124291,204143,30,558
2019/06/01 04:00:00+00,Bus,Silver Line,765614,38281,20,986733,32891,30,559
2019/06/01 04:00:00+00,The RIDE,The RIDE,121120,6056,20,150073,5002,30,560
2019/07/01 04:00:00+00,Rail,Blue Line,1595001,72500,22,1986990,64096,31,561
2019/07/01 04:00:00+00,Bus,Bus,7440844,338220,22,8653636,279150,31,562
2019/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2625150,119325,22,2669884,86125,31,563
2019/07/01 04:00:00+00,Ferry,Ferry,121000,5500,22,150474,4854,31,564
2019/07/01 04:00:00+00,Rail,Green Line,3965521,180251,22,4846481,156338,31,565
2019/07/01 04:00:00+00,Rail,Orange Line,4532500,206023,22,5350327,172591,31,566
2019/07/01 04:00:00+00,Rail,Red Line,5580380,253654,22,6558589,211567,31,567
2019/07/01 04:00:00+00,Bus,Silver Line,825192,37509,22,1024590,33051,31,568
2019/07/01 04:00:00+00,The RIDE,The RIDE,123486,5613,22,200568,6470,31,569
2019/08/01 04:00:00+00,Rail,Blue Line,1569038,71320,22,1941946,62643,31,570
2019/08/01 04:00:00+00,Bus,Bus,7338690,333577,22,8720653,281311,31,571
2019/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2655004,120682,22,2800661,90344,31,572
2020/09/01 04:00:00+00,The RIDE,The RIDE,45219,2153,21,60279,2009,30,573
2020/10/01 04:00:00+00,Rail,Blue Line,538534,24479,22,699029,22549,31,574
2020/10/01 04:00:00+00,Bus,Bus,3397061,154412,22,4216339,136011,31,575
2020/10/01 04:00:00+00,Commuter Rail,Commuter Rail,346828,15765,22,408247,13169,31,576
2020/10/01 04:00:00+00,Ferry,Ferry,12210,555,22,12203,394,31,577
2020/10/01 04:00:00+00,Rail,Green Line,1024202,46555,22,1350943,43579,31,578
2020/10/01 04:00:00+00,Rail,Orange Line,1235415,56155,22,1574354,50786,31,579
2020/10/01 04:00:00+00,Rail,Red Line,1354516,61569,22,1729511,55791,31,580
2020/10/01 04:00:00+00,Bus,Silver Line,313542,14252,22,403971,13031,31,581
2020/10/01 04:00:00+00,The RIDE,The RIDE,47342,2152,22,64297,2074,31,582
2020/11/01 04:00:00+00,Rail,Blue Line,456621,22831,20,604304,20143,30,583
2020/11/01 04:00:00+00,Bus,Bus,2998614,149930,20,3785357,126179,30,584
2020/11/01 04:00:00+00,Commuter Rail,Commuter Rail,342923,17146,20,387367,12912,30,585
2020/11/01 04:00:00+00,Ferry,Ferry,10280,514,20,11275,376,30,586
2020/11/01 04:00:00+00,Rail,Green Line,867656,43383,20,1146277,38209,30,587
2020/11/01 04:00:00+00,Rail,Orange Line,1044079,52204,20,1345735,44858,30,588
2020/11/01 04:00:00+00,Rail,Red Line,1144846,57242,20,1477327,49244,30,589
2020/11/01 04:00:00+00,Bus,Silver Line,275619,13781,20,365668,12189,30,590
2020/11/01 04:00:00+00,The RIDE,The RIDE,43975,2199,20,59815,1994,30,591
2020/12/01 05:00:00+00,Rail,Blue Line,451335,20515,22,560106,18068,31,592
2020/12/01 05:00:00+00,Bus,Bus,3082973,140135,22,3700267,119363,31,593
2020/12/01 05:00:00+00,Commuter Rail,Commuter Rail,293773,13353,22,327341,10559,31,594
2020/12/01 05:00:00+00,Ferry,Ferry,7876,358,22,7872,254,31,595
2020/12/01 05:00:00+00,Rail,Green Line,820629,37301,22,1015921,32772,31,596
2020/12/01 05:00:00+00,Rail,Orange Line,1028409,46746,22,1220244,39363,31,597
2020/12/01 05:00:00+00,Rail,Red Line,1143482,51976,22,1389002,44807,31,598
2020/12/01 05:00:00+00,Bus,Silver Line,292128,13279,22,371044,11969,31,599
2020/12/01 05:00:00+00,The RIDE,The RIDE,44471,2021,22,59636,1924,31,600
2019/08/01 04:00:00+00,Ferry,Ferry,123200,5600,22,151493,4887,31,601
2019/08/01 04:00:00+00,Rail,Green Line,3794895,172495,22,4643466,149789,31,602
2019/08/01 04:00:00+00,Rail,Orange Line,4423578,201072,22,5220991,168419,31,603
2019/08/01 04:00:00+00,Rail,Red Line,5451750,247807,22,6463959,208515,31,604
2019/08/01 04:00:00+00,Bus,Silver Line,823813,37446,22,1014331,32720,31,605
2019/08/01 04:00:00+00,The RIDE,The RIDE,125884,5722,22,202987,6548,31,606
2019/09/01 04:00:00+00,Rail,Blue Line,1521166,76058,20,1919750,63992,30,607
2019/09/01 04:00:00+00,Bus,Bus,7479428,373972,20,8969616,298987,30,608
2019/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2386500,119325,20,2553903,85130,30,609
2019/09/01 04:00:00+00,Ferry,Ferry,135280,6764,20,148822,4961,30,610
2019/09/01 04:00:00+00,Rail,Green Line,3869417,193471,20,4903676,163456,30,611
2019/09/01 04:00:00+00,Rail,Orange Line,4505587,225279,20,5371381,179046,30,612
2019/09/01 04:00:00+00,Rail,Red Line,5485803,274290,20,6639955,221332,30,613
2019/09/01 04:00:00+00,Bus,Silver Line,738886,36944,20,933957,31132,30,614
2019/09/01 04:00:00+00,The RIDE,The RIDE,117000,5850,20,158647,5288,30,615
2019/10/01 04:00:00+00,Rail,Blue Line,1691330,73536,23,1970127,63552,31,616
2019/10/01 04:00:00+00,Bus,Bus,8528800,370818,23,9744683,314345,31,617
2019/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2799238,121706,23,2911497,93919,31,618
2019/10/01 04:00:00+00,Ferry,Ferry,136022,5914,23,160480,5177,31,619
2019/10/01 04:00:00+00,Rail,Green Line,4263843,185384,23,4968201,160265,31,620
2019/10/01 04:00:00+00,Rail,Orange Line,5021380,218321,23,5258169,169618,31,621
2019/10/01 04:00:00+00,Rail,Red Line,6281604,273113,23,7164378,231109,31,622
2019/10/01 04:00:00+00,Bus,Silver Line,894937,38910,23,1071939,34579,31,623
2019/10/01 04:00:00+00,The RIDE,The RIDE,137172,5964,23,146004,4710,31,624
2019/11/01 04:00:00+00,Rail,Blue Line,1370955,68548,20,1692175,56406,30,625
2019/11/01 04:00:00+00,Bus,Bus,7075494,353775,20,8527062,284235,30,626
2019/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2447860,122393,20,2797188,93240,30,627
2019/11/01 04:00:00+00,Ferry,Ferry,105200,5260,20,147331,4911,30,628
2019/11/01 04:00:00+00,Rail,Green Line,3510859,175543,20,4280366,142679,30,629
2019/11/01 04:00:00+00,Rail,Orange Line,4165782,208289,20,4680848,156028,30,630
2019/11/01 04:00:00+00,Rail,Red Line,5144157,257208,20,5843990,194800,30,631
2019/11/01 04:00:00+00,Bus,Silver Line,829138,41457,20,1024992,34166,30,632
2019/11/01 04:00:00+00,The RIDE,The RIDE,115260,5763,20,108256,3609,30,633
2019/12/01 05:00:00+00,Rail,Blue Line,1310945,62426,21,1626513,52468,31,634
2019/12/01 05:00:00+00,Bus,Bus,6687806,318466,21,7991149,257779,31,635
2019/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2538270,120870,21,2679997,86452,31,636
2019/12/01 05:00:00+00,Ferry,Ferry,93492,4452,21,140704,4539,31,637
2019/12/01 05:00:00+00,Rail,Green Line,3267278,155585,21,4011537,129404,31,638
2019/12/01 05:00:00+00,Rail,Orange Line,3895916,185520,21,4607713,148636,31,639
2019/12/01 05:00:00+00,Rail,Red Line,4735624,225506,21,5341073,172293,31,640
2019/12/01 05:00:00+00,Bus,Silver Line,739832,35230,21,910832,29382,31,641
2019/12/01 05:00:00+00,The RIDE,The RIDE,109914,5234,21,95797,3090,31,642
2020/01/01 05:00:00+00,Rail,Blue Line,1397179,66532,21,1761812,56833,31,643
2020/01/01 05:00:00+00,Bus,Bus,7358106,350386,21,8720857,281318,31,644
2020/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2506182,119342,21,2751882,88770,31,645
2020/01/01 05:00:00+00,Ferry,Ferry,106785,5085,21,149484,4822,31,646
2020/01/01 05:00:00+00,Rail,Green Line,3473442,165402,21,4380768,141315,31,647
2020/01/01 05:00:00+00,Rail,Orange Line,4321821,205801,21,5041751,162637,31,648
2020/01/01 05:00:00+00,Rail,Red Line,5260299,250490,21,6286266,202783,31,649
2020/01/01 05:00:00+00,Bus,Silver Line,778615,37077,21,973248,31395,31,650
2022/05/01 04:00:00+00,Rail,Red Line,2702706,128700,21,3483042,112356,31,651
2022/05/01 04:00:00+00,Bus,Silver Line,570479,27166,21,742657,23957,31,652
2022/05/01 04:00:00+00,The RIDE,The RIDE,71654,3257,21,85959,2773,31,653
2022/06/01 04:00:00+00,Rail,Blue Line,919814,41810,22,1152060,38402,30,654
2022/06/01 04:00:00+00,Bus,Bus,5276170,239826,22,6237320,207911,30,655
2022/06/01 04:00:00+00,Commuter Rail,Commuter Rail,1456140,66188,22,1629720,54324,30,656
2022/06/01 04:00:00+00,Ferry,Ferry,73004,3318,22,86766,2892,30,657
2022/06/01 04:00:00+00,Rail,Green Line,2176675,98940,22,2711185,90373,30,658
2022/06/01 04:00:00+00,Rail,Orange Line,2389392,108609,22,2869831,95661,30,659
2022/06/01 04:00:00+00,Rail,Red Line,2856478,129840,22,3431343,114378,30,660
2022/06/01 04:00:00+00,Bus,Silver Line,573015,26046,22,710409,23680,30,661
2022/06/01 04:00:00+00,The RIDE,The RIDE,73854,3357,22,87237,2908,30,662
2022/07/01 04:00:00+00,Rail,Blue Line,860415,43021,20,1208003,38968,31,663
2022/07/01 04:00:00+00,Bus,Bus,4625947,231297,20,5925119,191133,31,664
2022/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1352286,67614,20,1554254,50137,31,665
2022/07/01 04:00:00+00,Ferry,Ferry,82336,4117,20,109055,3518,31,666
2022/07/01 04:00:00+00,Rail,Green Line,2326747,116337,20,3226221,104072,31,667
2022/07/01 04:00:00+00,Rail,Orange Line,1996881,99844,20,2611221,84233,31,668
2022/07/01 04:00:00+00,Rail,Red Line,2657985,132899,20,3391153,109392,31,669
2022/07/01 04:00:00+00,Bus,Silver Line,534787,26739,20,721943,23288,31,670
2022/07/01 04:00:00+00,The RIDE,The RIDE,67032,3352,20,82467,2660,31,671
2022/08/01 04:00:00+00,Rail,Blue Line,971488,42239,23,1228553,39631,31,672
2022/08/01 04:00:00+00,Bus,Bus,5297690,230334,23,6287095,202810,31,673
2022/08/01 04:00:00+00,Commuter Rail,Commuter Rail,1717271,74664,23,1875880,60512,31,674
2022/08/01 04:00:00+00,Ferry,Ferry,91008,3957,23,113439,3659,31,675
2022/08/01 04:00:00+00,Rail,Green Line,2432333,105754,23,3059510,98694,31,676
2022/08/01 04:00:00+00,Rail,Orange Line,1565944,68085,23,1848111,59616,31,677
2022/08/01 04:00:00+00,Rail,Red Line,2882976,125347,23,3488313,112526,31,678
2022/08/01 04:00:00+00,Bus,Silver Line,631876,27473,23,779211,25136,31,679
2022/08/01 04:00:00+00,The RIDE,The RIDE,76245,3466,23,89273,2880,31,680
2022/09/01 04:00:00+00,Rail,Blue Line,1013280,48251,21,1317882,43929,30,681
2022/09/01 04:00:00+00,Bus,Bus,5508602,262314,21,6616814,220560,30,682
2022/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1731028,82430,21,1955305,65177,30,683
2022/09/01 04:00:00+00,Ferry,Ferry,75126,3415,21,92489,3083,30,684
2022/09/01 04:00:00+00,Rail,Green Line,2655913,126472,21,3454280,115143,30,685
2022/09/01 04:00:00+00,Rail,Orange Line,1184230,56392,21,1375056,45835,30,686
2022/09/01 04:00:00+00,Rail,Red Line,2929320,139491,21,3637251,121242,30,687
2022/09/01 04:00:00+00,Bus,Silver Line,600894,28614,21,743786,24793,30,688
2022/09/01 04:00:00+00,The RIDE,The RIDE,75614,3437,21,88976,2966,30,689
2022/10/01 04:00:00+00,Rail,Blue Line,983389,46828,21,1318541,42534,31,690
2022/10/01 04:00:00+00,Bus,Bus,5500695,261938,21,6775570,218567,31,691
2022/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1764085,84004,21,2105849,67931,31,692
2022/10/01 04:00:00+00,Ferry,Ferry,68437,3111,21,79689,2571,31,693
2022/10/01 04:00:00+00,Rail,Green Line,2560380,121923,21,3457100,111519,31,694
2022/10/01 04:00:00+00,Rail,Orange Line,2209360,105208,21,2855984,92129,31,695
2022/10/01 04:00:00+00,Rail,Red Line,2959789,140942,21,3741301,120687,31,696
2022/10/01 04:00:00+00,Bus,Silver Line,587607,27981,21,758539,24469,31,697
2021/06/01 04:00:00+00,Rail,Orange Line,1612670,73303,22,1995451,66515,30,698
2022/10/01 04:00:00+00,The RIDE,The RIDE,73101,3481,21,89414,2884,31,699
2022/11/01 04:00:00+00,Rail,Blue Line,930128,44292,21,1194637,39821,30,700
2022/11/01 04:00:00+00,Bus,Bus,5293748,252083,21,6312454,210415,30,701
2021/06/01 04:00:00+00,Rail,Red Line,1946359,88471,22,2420917,80697,30,702
2021/06/01 04:00:00+00,Bus,Silver Line,418916,19042,22,526528,17551,30,703
2021/06/01 04:00:00+00,The RIDE,The RIDE,58594,2663,22,68711,2290,30,704
2021/07/01 04:00:00+00,Rail,Blue Line,738205,33555,22,987719,31862,31,705
2021/07/01 04:00:00+00,Bus,Bus,4014668,182485,22,5005340,161462,31,706
2021/07/01 04:00:00+00,Commuter Rail,Commuter Rail,649985,29545,22,771532,24888,31,707
2021/07/01 04:00:00+00,Ferry,Ferry,53003,2409,22,68016,2194,31,708
2021/07/01 04:00:00+00,Rail,Green Line,1677128,76233,22,2228599,71890,31,709
2021/07/01 04:00:00+00,Rail,Orange Line,1714910,77950,22,2233289,72042,31,710
2021/07/01 04:00:00+00,Rail,Red Line,2073657,94257,22,2692995,86871,31,711
2021/07/01 04:00:00+00,Bus,Silver Line,437004,19864,22,576309,18591,31,712
2021/07/01 04:00:00+00,The RIDE,The RIDE,56089,2550,22,67121,2165,31,713
2021/08/01 04:00:00+00,Rail,Blue Line,791034,35956,22,1026682,33119,31,714
2021/08/01 04:00:00+00,Bus,Bus,4328505,196751,22,5243797,169154,31,715
2021/08/01 04:00:00+00,Commuter Rail,Commuter Rail,736562,33480,22,860464,27757,31,716
2021/08/01 04:00:00+00,Ferry,Ferry,50021,2274,22,63607,2052,31,717
2021/08/01 04:00:00+00,Rail,Green Line,1812627,82392,22,2308907,74481,31,718
2021/08/01 04:00:00+00,Rail,Orange Line,1872653,85121,22,2351879,75867,31,719
2021/08/01 04:00:00+00,Rail,Red Line,2253065,102412,22,2825162,91134,31,720
2021/08/01 04:00:00+00,Bus,Silver Line,468132,21279,22,593842,19156,31,721
2021/08/01 04:00:00+00,The RIDE,The RIDE,56713,2578,22,67155,2166,31,722
2021/09/01 04:00:00+00,Rail,Blue Line,858551,40883,21,1122408,37414,30,723
2021/09/01 04:00:00+00,Bus,Bus,5014310,238776,21,6026467,200882,30,724
2021/09/01 04:00:00+00,Commuter Rail,Commuter Rail,978777,46608,21,1135782,37859,30,725
2021/09/01 04:00:00+00,Ferry,Ferry,41106,1957,21,51686,1723,30,726
2021/09/01 04:00:00+00,Rail,Green Line,2283557,108741,21,3000467,100016,30,727
2021/09/01 04:00:00+00,Rail,Orange Line,2160932,102902,21,2737988,91266,30,728
2021/09/01 04:00:00+00,Rail,Red Line,2718541,129454,21,3403839,113461,30,729
2021/09/01 04:00:00+00,Bus,Silver Line,487975,23237,21,628547,20952,30,730
2021/09/01 04:00:00+00,The RIDE,The RIDE,61257,2917,21,75787,2526,30,731
2021/10/01 04:00:00+00,Rail,Blue Line,876422,41734,21,1163572,37535,31,732
2021/10/01 04:00:00+00,Bus,Bus,5081598,241981,21,6213440,200434,31,733
2021/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1086358,51731,21,1361595,43922,31,734
2021/10/01 04:00:00+00,Ferry,Ferry,36871,1756,21,43954,1418,31,735
2021/10/01 04:00:00+00,Rail,Green Line,2284689,108795,21,3047920,98320,31,736
2021/10/01 04:00:00+00,Rail,Orange Line,2246083,106956,21,2919098,94164,31,737
2021/10/01 04:00:00+00,Rail,Red Line,2676646,127459,21,3428527,110598,31,738
2021/10/01 04:00:00+00,Bus,Silver Line,505493,24071,21,656469,21176,31,739
2021/10/01 04:00:00+00,The RIDE,The RIDE,64281,3061,21,78976,2548,31,740
2021/11/01 04:00:00+00,Rail,Blue Line,806916,38425,21,1023665,34122,30,741
2021/11/01 04:00:00+00,Bus,Bus,4947040,235574,21,5877689,195923,30,742
2021/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1122143,53435,21,1316818,43894,30,743
2021/11/01 04:00:00+00,Ferry,Ferry,37799,1800,21,40721,1357,30,744
2021/11/01 04:00:00+00,Rail,Green Line,2142171,102008,21,2698728,89958,30,745
2021/11/01 04:00:00+00,Rail,Orange Line,2180304,103824,21,2695651,89855,30,746
2021/11/01 04:00:00+00,Rail,Red Line,2517633,119887,21,3063867,102129,30,747
2021/11/01 04:00:00+00,Bus,Silver Line,489273,23299,21,611697,20390,30,748
